ServiceName,OptionName,REGIONNAME,ServiceTSID,OptionTSID,SERVICEOPTIONSTATUSNAME,ServiceType
Bangalore - Kolkata,Economy Class Flight - (LCC),Bangalore,2033,46120,Unavailable,Flight
Bangalore - Delhi,Economy Class Flight - (LCC),Bangalore,2031,46118,Unavailable,Flight
Bangalore - Mumbai,Economy Class Flight - (LCC),Bangalore,2030,46117,Unavailable,Flight
Jaipur - Mumbai,Economy Class Flight - (LCC),Jaipur,2743,46116,Unavailable,Flight
Bangalore - Mangalore,Economy Class Flight - (LCC),Bangalore,2027,46111,Unavailable,Flight
Jaipur - Chennai,Economy Class Flight - (LCC),Jaipur,2740,46110,Unavailable,Flight
Bangalore - Chennai - Madurai,Economy Class Flight - (LCC),Bangalore,2021,46109,Unavailable,Flight
Jaipur - Bangalore,Economy Class Flight - (LCC),Jaipur,2738,46108,Unavailable,Flight
Bangalore - Hyderabad,Economy Class Flight - (LCC),Bangalore,2017,46107,Unavailable,Flight
Jaipur - Delhi,Economy Class Flight - (LCC),Jaipur,2735,46106,Unavailable,Flight
Bangalore - Goa,Economy Class Flight - (LCC),Bangalore,2015,46105,Unavailable,Flight
Jaipur - Delhi/Mumbai - Ahmedabad,Economy Class Flight - (LCC),Jaipur,2731,46104,Unavailable,Flight
Cochin - Bangalore,Economy Class Flight - (LCC),Cochin,2051,46103,Unavailable,Flight
Bangalore - Cochin,Economy Class Flight - (LCC),Bangalore,2013,46102,Unavailable,Flight
Chennai - Bangalore,Economy Class Flight - (LCC),Chennai,2833,46101,Unavailable,Flight
Bangalore - Chennai,Economy Class Flight - (LCC),Bangalore,2011,46099,Unavailable,Flight
Cochin - Trivandrum,Economy Class Flight - (LCC),Cochin,2059,46096,Unavailable,Flight
Bagdogra - Guwahati,Economy Class Flight - (LCC),Bagdogra,14109,46043,Unavailable,Flight
Bagdogra - Bangalore,Economy Class Flight - (LCC),Bagdogra,2546,46040,Unavailable,Flight
Indore - Mumbai,Economy Class Flight - (LCC),Indore,2700,46020,Unavailable,Flight
Indore - Delhi,Economy Class Flight - (LCC),Indore,2699,46017,Unavailable,Flight
Hyderabad - Bhubaneswar,Economy Class Flight - (LCC),Hyderabad,2628,46015,Unavailable,Flight
Hyderabad - Mumbai,Economy Class Flight - (LCC),Hyderabad,2625,46011,Unavailable,Flight
Hyderabad - Kolkata,Economy Class Flight - (LCC),Hyderabad,2623,46009,Unavailable,Flight
Hyderabad - Delhi,Economy Class Flight - (LCC),Hyderabad,2621,46008,Unavailable,Flight
Hyderabad - Chennai,Economy Class Flight - (LCC),Hyderabad,2593,46006,Unavailable,Flight
Ahmedabad - Goa,Economy Class Flight - (LCC),Ahmedabad,14483,45995,Unavailable,Flight
Ahmedabad - Delhi,Economy Class Flight - (LCC),Ahmedabad,14482,45993,Unavailable,Flight
Ahmedabad - Bangalore,Economy Class Flight - (LCC),Ahmedabad,14481,45992,Unavailable,Flight
Ahmedabad - Mumbai,Economy Class Flight - (LCC),Ahmedabad,7764,45990,Unavailable,Flight
Ahmedabad - Jaipur,Economy Class Flight - (LCC),Ahmedabad,2686,45982,Unavailable,Flight
