"REGIONNAME","SERVICEID","SERVICELONGNAME","SERVICETYPENAME","SUPPLIERID","SUPPLIERNAME","MEALPLANNAME","OPTIONID","OPTIONNAME","IS_DEFAULT","EXTRAID","EXTRANAME","OCCUPANCYTYPEID","OCCUPANCYTYPENAME","CHARGINGPOLICYID","CHARGINGPOLICYNAME","SEASONTYPEID","SEASONTYPENAME","SEASONSTARTDATE","SEASONENDDATE","ORGANISATIONSUPPLIERCONTRACTID","ORGANISATIONSUPPLIERCONTRACTNAME","CONTRACTDURATIONID","CONTRACTDURATIONNAME","CONTRACTDURATIONSTARTDATE","CONTRACTDURATIONENDDATE","CURRENCYISOCODE","WEEKDAYPRICES_EXISTS","PRICEDAYMONDAY","PRICEDAYTUESDAY","PRICEDAYWEDNESDAY","PRICEDAYTHURSDAY","PRICEDAYFRIDAY","PRICEDAYSATURDAY","PRICEDAYSUNDAY","BUYPRICE","MARGIN","SELLING",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Feb  1 2016 12:00:00:000AM","Feb 29 2016 12:00:00:000AM","30904","*Marari Beach Resort (1 Nov 15 - 30 Apr 16)","31069","Marari Beach Resort (1 Nov 15 - 30 Apr 16)","Nov  1 2015 12:00:00:000AM","Apr 30 2016 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6000","34.0006","9091",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Dec 21 2016 12:00:00:000AM","Jan 10 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6227","28.9965","8770",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","","","","3570","Mandatory New Year Supplement (Dec 31st)-Child","","","12","Per Person Per Day","7","Season 02","Feb  1 2017 12:00:00:000AM","Feb 28 2017 12:00:00:000AM","32526","*Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","32709","Pro-Marari Beach Resort (1 Nov 2016 - 30 Apr 2017)","Nov  1 2016 12:00:00:000AM","Apr 30 2017 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","6227","28.9965","8770",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35287","Marari-Garden Villa (Single) 2N","NO","","","1","Single","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","12000","34.0006","18182",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35288","Marari-Garden Villa (Double) 2N","NO","","","3","Double","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","12000","34.0006","18182",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35289","Marari-Garden Villa (Double+Extra Adult) 2N","NO","","","4","Triple","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","12000","34.0006","18182",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35290","Marari-Garden Villa (Double+Extra Child) 2N","NO","","","7","Family Room 1","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","12000","34.0006","18182",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35291","Marari-Garden Pool Villa (Single) 2N","NO","","","1","Single","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16200","34.0014","24546",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35292","Marari-Garden Pool Villa (Double) 2N","NO","","","3","Double","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16200","34.0014","24546",
"Alleppey","1293","Marari Beach Resort","Accommodation","41","CGH Earth Experience Hotels","","35293","Marari-Garden Pool Villa (Double+Extra Adult) 2N","NO","","","4","Triple","10","*Per Room Per Night","8","Season 03","Apr 16 2015 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","25185","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","25317","Marari Beach Resort (1 Oct 14 - 31 Oct 15)","Oct  1 2014 12:00:00:000AM","Oct 31 2015 12:00:00:000AM","INR","NO","1","1","1","1","1","1","1","16200","34.0014","24546",
